ACURA,Serial No/VIN,VIN6,Ending Balance, 324         ,VIN6,Description,Control    
2026 Acura ACURAMDXSHWDA,5J8YE1H00TL028741,028741,"$60,671.20 "," (60,671.20)",028741,2026 ACURA MDX          3/24/26  5J8YE1H00TL028741,A8106
2026 Acura ACURAMDXSHWDA,5J8YE1H06TL029960,029960,"$60,671.20 "," (60,671.20)",029960,2026 ACURA MDX          3/26/26  5J8YE1H06TL029960,A8126
2026 Acura ACURAMDXSHWDA,5J8YE1H05TL029996,029996,"$60,671.20 "," (60,671.20)",029996,2026 ACURA MDX          3/26/26  5J8YE1H05TL029996,A8135
2026 Acura ACURAMDXSHWDA,5J8YE1H02TL030815,030815,"$60,671.20 "," (60,671.20)",030815,2026 ACURA MDX          4/24/26  5J8YE1H02TL030815,A8201
2026 Acura ACURAMDXSHWDA,5J8YE1H0XTL030996,030996,"$60,671.20 "," (60,671.20)",030996,2026 ACURA MDX          4/09/26  5J8YE1H0XTL030996,A8169
2026 Acura ACURAMDXSHWDA,5J8YE1H08TL031404,031404,"$60,671.20 "," (60,671.20)",031404,"TRUONG, THAO NGAN       4/13/26  5J8YE1H08TL031404",A8177
2026 Acura ACURAMDXSHWDA,5J8YE1H03TL031570,031570,"$60,671.20 "," (60,671.20)",031570,2026 ACURA MDX          4/13/26  5J8YE1H03TL031570,A8205
2026 Acura ACURAMDXSHWDA,5J8YE1H08TL033458,033458,"$60,671.20 "," (60,671.20)",033458,"ABRAMS, REBECCA FAITH   4/24/26  5J8YE1H08TL033458",A8198
2026 Acura ACURAMDXSHWDA,5J8YE1H05TL033465,033465,"$60,671.20 "," (60,671.20)",033465,2026 ACURA MDX          4/24/26  5J8YE1H05TL033465,A8199
2026 Acura ACURAMDXSHWDA,5J8YE1H0XTL033588,033588,"$60,671.20 "," (60,671.20)",033588,2026 ACURA MDX          4/29/26  5J8YE1H0XTL033588,A8224
2026 Acura MDX,5J8YE1H80TL012769,012769,"$64,102.20 "," (64,102.20)",012769,2026 ACURA MDX         12/02/25  5J8YE1H80TL012769,A7783
2026 Acura ACURAMDXSHWDA,5J8YE1H81TL025868,025868,"$64,202.20 "," (64,202.20)",025868,2026 ACURA MDX          2/27/26  5J8YE1H81TL025868,A7995
2026 Acura ACURAMDXSHWDA,5J8YE1H84TL027694,027694,"$64,202.20 "," (64,202.20)",027694,2026 ACURA MDX          3/23/26  5J8YE1H84TL027694,A8078
2026 Acura ACURAMDXSHWDA,5J8YE1H86TL027695,027695,"$64,202.20 "," (64,202.20)",027695,2026 ACURA MDX          3/23/26  5J8YE1H86TL027695,A8070
2026 Acura ACURAMDXSHWDA,5J8YE1H85TL028272,028272,"$64,202.20 "," (64,202.20)",028272,2026 ACURA MDX          3/25/26  5J8YE1H85TL028272,A8124
2026 Acura ACURAMDXSHWDA,5J8YE1H89TL030185,030185,"$64,202.20 "," (64,202.20)",030185,2026 ACURA MDX          3/31/26  5J8YE1H89TL030185,A8142
2026 Acura MDX,5J8YE1H88TL012938,012938,"$64,667.40 "," (64,667.40)",012938,2026 ACURA MDX          1/13/26  5J8YE1H88TL012938,A7874
2026 Acura MDX,5J8YE1H88TL013023,013023,"$64,667.40 "," (64,667.40)",013023,2026 ACURA MDX         11/25/25  5J8YE1H88TL013023,A7782
2026 Acura ACURAMDXSHWDA,5J8YE1H82TL026592,026592,"$64,767.40 "," (64,767.40)",026592,2026 ACURA MDX          3/25/26  5J8YE1H82TL026592,A8113
2026 Acura ACURAMDXSHWDA,5J8YE1H89TL026766,026766,"$64,767.40 "," (64,767.40)",026766,2026 ACURA MDX          3/24/26  5J8YE1H89TL026766,A8105
2026 Acura ACURAMDXSHWDA,5J8YE1H8XTL026792,026792,"$64,767.40 "," (64,767.40)",026792,2026 ACURA MDX          3/13/26  5J8YE1H8XTL026792,A8044
2026 Acura ACURAMDXSHWDA,5J8YE1H82TL027113,027113,"$64,767.40 "," (64,767.40)",027113,2026 ACURA MDX          3/16/26  5J8YE1H82TL027113,A8049
2026 Acura ACURAMDXSHWDA,5J8YE1H83TL027850,027850,"$64,767.40 "," (64,767.40)",027850,2026 ACURA MDX          3/23/26  5J8YE1H83TL027850,A8084
2026 Acura ACURAMDXSHWDA,5J8YE1H81TL027863,027863,"$64,767.40 "," (64,767.40)",027863,2026 ACURA MDX          3/30/26  5J8YE1H81TL027863,A8110
2026 Acura ACURAMDXSHWDA,5J8YE1H89TL027867,027867,"$64,767.40 "," (64,767.40)",027867,2026 ACURA MDX          3/24/26  5J8YE1H89TL027867,A8103
2026 Acura ACURAMDXSHWDA,5J8YE1H87TL027981,027981,"$64,767.40 "," (64,767.40)",027981,2026 ACURA MDX          3/23/26  5J8YE1H87TL027981,A8101
2026 Acura ACURAMDXSHWDA,5J8YE1H85TL029213,029213,"$64,767.40 "," (64,767.40)",029213,2026 ACURA MDX          3/23/26  5J8YE1H85TL029213,A8088
2026 Acura ACURAMDXSHWDA,5J8YE1H87TL029357,029357,"$64,767.40 "," (64,767.40)",029357,2026 ACURA MDX          3/25/26  5J8YE1H87TL029357,A8116
2026 Acura ACURAMDXSHWDA,5J8YE1H83TL030246,030246,"$64,767.40 "," (64,767.40)",030246,2026 ACURA MDX          4/03/26  5J8YE1H83TL030246,A8151
2026 Acura ACURAMDXSHWDA,5J8YE1H81TL032075,032075,"$64,767.40 "," (64,767.40)",032075,2026 ACURA MDX          4/14/26  5J8YE1H81TL032075,A8211
2026 Acura ACURAMDXSHWDA,5J8YE1H86TL032198,032198,"$64,767.40 "," (64,767.40)",032198,2026 ACURA MDX          4/15/26  5J8YE1H86TL032198,A8217
2026 Acura ACURAMDXSHWDA,5J8YE1H85TL033178,033178,"$64,767.40 "," (64,767.40)",033178,2026 ACURA MDX          4/20/26  5J8YE1H85TL033178,A8191
2026 Acura ACURAMDXSHWDA,5J8YE1H98TL022524,022524,"$66,643.40 "," (66,643.40)",022524,2026 ACURA MDX          2/20/26  5J8YE1H98TL022524,A7959
2026 Acura ACURAMDXSHWDA,5J8YE1H9XTL026722,026722,"$66,643.40 "," (66,643.40)",026722,2026 ACURA MDX          3/04/26  5J8YE1H9XTL026722,A8026
2026 Acura ACURAMDXSHWDA,5J8YE1H99TL029529,029529,"$66,643.40 "," (66,643.40)",029529,2026 ACURA MDX          3/24/26  5J8YE1H99TL029529,A8104
2026 Acura ACURAMDXSHWDA,5J8YE1H98TL030283,030283,"$66,643.40 "," (66,643.40)",030283,2026 ACURA MDX          3/31/26  5J8YE1H98TL030283,A8145
2026 Acura ACURAMDXSHWDA,5J8YE1H97TL032803,032803,"$66,643.40 "," (66,643.40)",032803,2026 ACURA MDX          4/24/26  5J8YE1H97TL032803,A8197
2026 Acura ACURAMDXSHWDA,5J8YE1H93TL032815,032815,"$66,643.40 "," (66,643.40)",032815,2026 ACURA MDX          4/20/26  5J8YE1H93TL032815,A8187
2026 Acura ACURAMDXSHWDA,5J8YE1H97TL032817,032817,"$66,643.40 "," (66,643.40)",032817,"BURT, TIMOTHY ALLAN     4/20/26  5J8YE1H97TL032817",A8190
2026 Acura ACURAMDXSHWDA,5J8YE1H96TL033201,033201,"$66,643.40 "," (66,643.40)",033201,2026 ACURA MDX          4/24/26  5J8YE1H96TL033201,A8195
2026 Acura ACURAMDXSHWDT,5J8YD8H80TL004229,004229,"$72,597.30 "," (72,597.30)",004229,2026 ACURA MDX          4/08/26  5J8YD8H80TL004229,A8172
2026 Acura ACURAMDXSHWDT,5J8YD8H88TL003006,003006,"$73,162.50 "," (73,162.50)",003006,2026 ACURA MDX          2/16/26  5J8YD8H88TL003006,A7945
2026 Acura ACURAMDXSHWDT,5J8YD8H89TL003015,003015,"$73,162.50 "," (73,162.50)",003015,2026 ACURA MDX          2/24/26  5J8YD8H89TL003015,A7973
2026 Acura ACURAMDXSHWDT,5J8YD8H85TL003836,003836,"$73,162.50 "," (73,162.50)",003836,2026 ACURA MDX          3/23/26  5J8YD8H85TL003836,A8100
2026 Acura ACURAMDXSHWDT,5J8YD8H89TL004052,004052,"$73,162.50 "," (73,162.50)",004052,2026 ACURA MDX          3/31/26  5J8YD8H89TL004052,A8144
2026 Acura ACURAMDXSHWDT,5J8YD8H86TL004302,004302,"$73,162.50 "," (73,162.50)",004302,2026 ACURA MDX          4/14/26  5J8YD8H86TL004302,A8212
2026 Acura ACURAMDXSHWDT,5J8YD8H8XTL004304,004304,"$73,162.50 "," (73,162.50)",004304,2026 ACURA MDX          4/14/26  5J8YD8H8XTL004304,A8213
2026 Acura ACURAMDXSHWDT,5J8YD8H81TL004434,004434,"$73,162.50 "," (73,162.50)",004434,2026 ACURA MDX          4/17/26  5J8YD8H81TL004434,A8180
,,,"$10,056,651.40 "," (10,394,112.00)",,Final Totals:,
